Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency,
Keysight Technologies Inc,KEYS,49338L10,BQZJ0Q9,0.082062,Information Technology,1952632.000,USD,
Ball Corporation,BLL,05849810,2073022,0.079940,Materials,3462397.000,USD,
AMETEK Inc.,AME,03110010,2089212,0.079843,Industrials,2450280.000,USD,
Fastenal Company,FAST,31190010,2332262,0.079317,Industrials,6091074.000,USD,
Hershey Company,HSY,42786610,2422806,0.079043,Consumer Staples,1540705.000,USD,
Weyerhaeuser Company,WY,96216610,2958936,0.079029,Real Estate,7945241.000,USD,
Halliburton Company,HAL,40621610,2405302,0.078972,Energy,9432477.000,USD,
Arista Networks Inc.,ANET,04041310,BN33VM5,0.078157,Information Technology,2381646.000,USD,
Equity Residential,EQR,29476L10,2319157,0.077878,Real Estate,3611008.000,USD,
Consolidated Edison Inc.,ED,20911510,2216850,0.077684,Utilities,3755924.000,USD,
West Pharmaceutical Services Inc.,WST,95530610,2950482,0.077056,Health Care,783490.000,USD,
Eversource Energy,ES,30040W10,BVVN4Q8,0.076101,Utilities,3642260.000,USD,
Twitter Inc.,TWTR,90184L10,BFLR866,0.076079,Communication Services,8456056.000,USD,
WEC Energy Group Inc,WEC,92939U10,BYY8XK8,0.075876,Utilities,3342640.000,USD,
ONEOK Inc.,OKE,68268010,2130109,0.075089,Energy,4723645.000,USD,
Willis Towers Watson Public Limited Company,WTW,G9662910,BDB6Q21,0.074974,Financials,1322975.000,USD,
Delta Air Lines Inc.,DAL,24736170,B1W9D46,0.074585,Industrials,6781646.000,USD,
Tyson Foods Inc. Class A,TSN,90249410,2909730,0.073962,Consumer Staples,3124780.000,USD,
Southwest Airlines Co.,LUV,84474110,2831543,0.073848,Industrials,6270211.000,USD,
Old Dominion Freight Line Inc.,ODFL,67958010,2656423,0.073131,Industrials,993954.000,USD,
Cerner Corporation,CERN,15678210,2185284,0.072941,Health Care,3132051.000,USD,
ANSYS Inc.,ANSS,03662Q10,2045623,0.072850,Information Technology,923079.000,USD,
D.R. Horton Inc.,DHI,23331A10,2250687,0.072581,Consumer Discretionary,3454040.000,USD,
American Water Works Company Inc.,AWK,03042010,B2R3PV1,0.072327,Utilities,1923687.000,USD,
Kraft Heinz Company,KHC,50075410,BYRY499,0.072139,Consumer Staples,7517353.000,USD,
Copart Inc.,CPRT,21720410,2208073,0.071788,Industrials,2265236.000,USD,
Stanley Black & Decker Inc.,SWK,85450210,B3Q2FJ4,0.071010,Industrials,1717764.000,USD,
Alexandria Real Estate Equities Inc.,ARE,01527110,2009210,0.070723,Real Estate,1497272.000,USD,
LyondellBasell Industries NV,LYB,N5374510,B3SPXZ3,0.070405,Materials,2746453.000,USD,
Hess Corporation,HES,42809H10,2023748,0.069792,Energy,2917606.000,USD,
Equifax Inc.,EFX,29442910,2319146,0.069484,Industrials,1290692.000,USD,
Baker Hughes Company Class A,BKR,05722G10,BDHLTQ5,0.069370,Energy,9282351.000,USD,
Laboratory Corporation of America Holdings,LH,50540R40,2586122,0.068194,Health Care,1025307.000,USD,
Extra Space Storage Inc.,EXR,30225T10,B02HWR9,0.067971,Real Estate,1418255.000,USD,
EPAM Systems Inc.,EPAM,29414B10,B44Z3T8,0.067467,Information Technology,602475.000,USD,
CDW Corp.,CDW,12514G10,BBM5MD6,0.067463,Information Technology,1457464.000,USD,
Zimmer Biomet Holdings Inc.,ZBH,98956P10,2783815,0.067409,Health Care,2212686.000,USD,
Vulcan Materials Company,VMC,92916010,2931205,0.066998,Materials,1406302.000,USD,
Northern Trust Corporation,NTRS,66585910,2648668,0.066438,Financials,2208803.000,USD,
Lennar Corporation Class A,LEN,52605710,2511920,0.066061,Consumer Discretionary,2912220.000,USD,
Republic Services Inc.,RSG,76075910,2262530,0.066018,Industrials,2227177.000,USD,
McCormick & Company Incorporated,MKC,57978020,2550161,0.065755,Consumer Staples,2640127.000,USD,
Tractor Supply Company,TSCO,89235610,2900335,0.065697,Consumer Discretionary,1211881.000,USD,
Hartford Financial Services Group Inc.,HIG,41651510,2476193,0.065621,Financials,3659232.000,USD,
KeyCorp,KEY,49326710,2490911,0.065327,Financials,9998310.000,USD,
Martin Marietta Materials Inc.,MLM,57328410,2572079,0.064642,Materials,661159.000,USD,
Synchrony Financial,SYF,87165B10,BP96PS6,0.064407,Financials,5809274.000,USD,
Gartner Inc.,IT,36665110,2372763,0.064176,Information Technology,882113.000,USD,
Church & Dwight Co. Inc.,CHD,17134010,2195841,0.064050,Consumer Staples,2601649.000,USD,
Mid-America Apartment Communities Inc.,MAA,59522J10,2589132,0.063589,Real Estate,1220997.000,USD,
M&T Bank Corporation,MTB,55261F10,2340168,0.063265,Financials,1363938.000,USD,
Huntington Bancshares Incorporated,HBAN,44615010,2445966,0.062675,Financials,15552250.000,USD,
Albemarle Corporation,ALB,01265310,2046853,0.062009,Materials,1239430.000,USD,
DTE Energy Company,DTE,23333110,2280220,0.061821,Utilities,2053575.000,USD,
Dover Corporation,DOV,26000310,2278407,0.061736,Industrials,1525283.000,USD,
Edison International,EIX,28102010,2829515,0.061567,Utilities,4024037.000,USD,
Regions Financial Corporation,RF,7591EP10,B01R311,0.061398,Financials,10116440.000,USD,
United Rentals Inc.,URI,91136310,2134781,0.061149,Industrials,766378.000,USD,
Fortive Corp.,FTV,34959J10,BYT3MK1,0.061116,Industrials,3797913.000,USD,
Zebra Technologies Corporation Class A,ZBRA,98920710,2989356,0.060876,Information Technology,566068.000,USD,
Citizens Financial Group Inc.,CFG,17461010,BQRX1X3,0.060854,Financials,4513898.000,USD,
Skyworks Solutions Inc.,SWKS,83088M10,2961053,0.060635,Information Technology,1750336.000,USD,
Hewlett Packard Enterprise Co.,HPE,42824C10,BYVYWS0,0.060608,Information Technology,13844053.000,USD,
PerkinElmer Inc.,PKI,71404610,2305844,0.060538,Health Care,1340667.000,USD,
FirstEnergy Corp.,FE,33793210,2100920,0.060201,Utilities,5765332.000,USD,
Seagate Technology Holdings PLC,STX,G7997R10,BKVD2N4,0.060107,Information Technology,2128792.000,USD,
STERIS Plc,STE,G8473T10,BFY8C75,0.059885,Health Care,1040253.000,USD,
Best Buy Co. Inc.,BBY,08651610,2094670,0.059694,Consumer Discretionary,2383398.000,USD,
Diamondback Energy Inc.,FANG,25278X10,B7Y8YR3,0.059405,Energy,1803804.000,USD,
Ameren Corporation,AEE,02360810,2050832,0.058586,Utilities,2730000.000,USD,
Ingersoll Rand Inc.,IR,45687V10,BL5GZ82,0.058116,Industrials,4293015.000,USD,
PPL Corporation,PPL,69351T10,2680905,0.057553,Utilities,8054149.000,USD,
AmerisourceBergen Corporation,ABC,03073E10,2795393,0.056796,Health Care,1573861.000,USD,
Entergy Corporation,ETR,29364G10,2317087,0.056746,Utilities,2129237.000,USD,
Ventas Inc.,VTR,92276F10,2927925,0.055890,Real Estate,4238259.000,USD,
Signature Bank,SBNY,82669G10,B00JQL9,0.055583,Financials,646460.000,USD,
W.W. Grainger Inc.,GWW,38480210,2380863,0.055571,Industrials,464258.000,USD,
Essex Property Trust Inc.,ESS,29717810,2316619,0.055062,Real Estate,689241.000,USD,
NetApp Inc.,NTAP,64110D10,2630643,0.054952,Information Technology,2376185.000,USD,
VeriSign Inc.,VRSN,92343E10,2142922,0.054570,Information Technology,1031315.000,USD,
Ulta Beauty Inc,ULTA,90384S30,B28TS42,0.054406,Consumer Discretionary,580430.000,USD,
Raymond James Financial Inc.,RJF,75473010,2718992,0.054385,Financials,1965184.000,USD,
Enphase Energy Inc.,ENPH,29355A10,B65SQW4,0.053759,Information Technology,1426843.000,USD,
Nasdaq Inc.,NDAQ,63110310,2965107,0.053743,Financials,1231308.000,USD,
Duke Realty Corporation,DRE,26441150,2284084,0.053692,Real Estate,3988683.000,USD,
Monolithic Power Systems Inc.,MPWR,60983910,B01Z7J1,0.053164,Information Technology,453275.000,USD,
Teledyne Technologies Incorporated,TDY,87936010,2503477,0.052854,Information Technology,495594.000,USD,
FLEETCOR Technologies Inc.,FLT,33904110,B4R28B3,0.052316,Information Technology,875226.000,USD,
Waters Corporation,WAT,94184810,2937689,0.052021,Health Care,650378.000,USD,
Cooper Companies Inc.,COO,21664840,2222631,0.051536,Health Care,521788.000,USD,
V.F. Corporation,VFC,91820410,2928683,0.051487,Consumer Discretionary,3427793.000,USD,
Generac Holdings Inc.,GNRC,36873610,B6197Q2,0.051428,Industrials,668838.000,USD,
Teradyne Inc.,TER,88077010,2884183,0.050974,Information Technology,1730487.000,USD,
Cincinnati Financial Corporation,CINF,17206210,2196888,0.050931,Financials,1588624.000,USD,
Take-Two Interactive Software Inc.,TTWO,87405410,2122117,0.050640,Communication Services,1229993.000,USD,
Royal Caribbean Group,RCL,V7780T10,2754907,0.050536,Consumer Discretionary,2337432.000,USD,
Darden Restaurants Inc.,DRI,23719410,2289874,0.050114,Consumer Discretionary,1381500.000,USD,
Coterra Energy Inc.,CTRA,12709710,2162340,0.049813,Energy,8607370.000,USD,
Genuine Parts Company,GPC,37246010,2367480,0.049190,Consumer Discretionary,1517968.000,USD,
Principal Financial Group Inc.,PFG,74251V10,2803014,0.048936,Financials,2646401.000,USD,
Amcor PLC,AMCR,G0250X10,BJ1F307,0.048926,Materials,16341771.000,USD,
Westinghouse Air Brake Technologies Corporation,WAB,92974010,2955733,0.048882,Industrials,2004329.000,USD,
CMS Energy Corporation,CMS,12589610,2219224,0.048803,Utilities,3079869.000,USD,
Omnicom Group Inc,OMC,68191910,2279303,0.048756,Communication Services,2273269.000,USD,
International Paper Company,IP,46014610,2465254,0.048523,Materials,4143175.000,USD,
Expeditors International of Washington Inc.,EXPD,30213010,2325507,0.048479,Industrials,1800004.000,USD,
Clorox Company,CLX,18905410,2204026,0.048263,Consumer Staples,1301680.000,USD,
Viatris Inc.,VTRS,92556V10,BMWS3X9,0.048250,Health Care,12812409.000,USD,
Carnival Corporation,CCL,14365830,2523044,0.048165,Consumer Discretionary,8460019.000,USD,
Pool Corporation,POOL,73278L10,2781585,0.048124,Consumer Discretionary,424988.000,USD,
Paramount Global Class B,PARA,92556H20,BKTNTR9,0.047850,Communication Services,6420187.000,USD,
Hologic Inc.,HOLX,43644010,2433530,0.047841,Health Care,2696028.000,USD,
Tyler Technologies Inc.,TYL,90225210,2909644,0.047174,Information Technology,433412.000,USD,
CarMax Inc.,KMX,14313010,2983563,0.047137,Consumer Discretionary,1727065.000,USD,
Boston Properties Inc.,BXP,10112110,2019479,0.046637,Real Estate,1505135.000,USD,
Western Digital Corporation,WDC,95810210,2954699,0.046514,Information Technology,3244859.000,USD,
Marathon Oil Corporation,MRO,56584910,2910970,0.046455,Energy,8357210.000,USD,
MGM Resorts International,MGM,55295310,2547419,0.046445,Consumer Discretionary,4187241.000,USD,
Conagra Brands Inc.,CAG,20588710,2215460,0.046380,Consumer Staples,5090431.000,USD,
Caesars Entertainment Inc,CZR,12769G10,BMWWGB0,0.046248,Consumer Discretionary,2223191.000,USD,
Healthpeak Properties Inc.,PEAK,42250P10,BJBLRK3,0.046205,Real Estate,5711037.000,USD,
Trimble Inc.,TRMB,89623910,2903958,0.046076,Information Technology,2665964.000,USD,
Mosaic Company,MOS,61945C10,B3NPHP6,0.045957,Materials,3932623.000,USD,
Garmin Ltd.,GRMN,H2906T10,B3Z5T14,0.045910,Consumer Discretionary,1595433.000,USD,
Celanese Corporation,CE,15087010,B05MZT4,0.045765,Materials,1178457.000,USD,
CenterPoint Energy Inc.,CNP,15189T10,2440637,0.045467,Utilities,6678477.000,USD,
Etsy Inc.,ETSY,29786A10,BWTN5N1,0.045169,Consumer Discretionary,1345807.000,USD,
Akamai Technologies Inc.,AKAM,00971T10,2507457,0.045108,Information Technology,1725796.000,USD,
NVR Inc.,NVR,62944T10,2637785,0.045011,Consumer Discretionary,35441.000,USD,
Catalent Inc,CTLT,14880610,BP96PQ4,0.044898,Health Care,1804731.000,USD,
Eastman Chemical Company,EMN,27743210,2298386,0.044528,Materials,1439411.000,USD,
Broadridge Financial Solutions Inc.,BR,11133T10,B1VP7R6,0.044477,Information Technology,1230161.000,USD,
Kellogg Company,K,48783610,2486813,0.044319,Consumer Staples,2691683.000,USD,
CF Industries Holdings Inc.,CF,12526910,B0G4K50,0.044203,Materials,2284713.000,USD,
NortonLifeLock Inc.,NLOK,66877110,BJN4XN5,0.044093,Information Technology,6159484.000,USD,
Xylem Inc.,XYL,98419M10,B3P2CN8,0.043550,Industrials,1909557.000,USD,
Domino's Pizza Inc.,DPZ,25754A20,B01SD70,0.042763,Consumer Discretionary,391149.000,USD,
J.B. Hunt Transport Services Inc.,JBHT,44565810,2445416,0.042527,Industrials,891567.000,USD,
UDR Inc.,UDR,90265310,2727910,0.042501,Real Estate,3086238.000,USD,
Quest Diagnostics Incorporated,DGX,74834L10,2702791,0.042445,Health Care,1294505.000,USD,
Paycom Software Inc.,PAYC,70432V10,BL95MY0,0.042393,Information Technology,509403.000,USD,
Textron Inc.,TXT,88320310,2885937,0.042321,Industrials,2377127.000,USD,
Cardinal Health Inc.,CAH,14149Y10,2175672,0.042182,Health Care,3047347.000,USD,
Jacobs Engineering Group Inc.,J,46981410,2469052,0.041950,Industrials,1380104.000,USD,
Las Vegas Sands Corp.,LVS,51783410,B02T2J7,0.041895,Consumer Discretionary,3505768.000,USD,
United Airlines Holdings Inc.,UAL,91004710,B4QG225,0.041795,Industrials,3403423.000,USD,
Bio-Techne Corporation,TECH,09073M10,BSHZ3Q0,0.041684,Health Care,412240.000,USD,
FactSet Research Systems Inc.,FDS,30307510,2329770,0.041369,Financials,401570.000,USD,
Brown & Brown Inc.,BRO,11523610,2692687,0.041277,Financials,2476709.000,USD,
Live Nation Entertainment Inc.,LYV,53803410,B0T7YX2,0.041264,Communication Services,1395062.000,USD,
FMC Corporation,FMC,30249130,2328603,0.040940,Materials,1365011.000,USD,
Avery Dennison Corporation,AVY,05361110,2066408,0.040754,Materials,878429.000,USD,
J.M. Smucker Company,SJM,83269640,2951452,0.040336,Consumer Staples,1148292.000,USD,
Teleflex Incorporated,TFX,87936910,2881407,0.039986,Health Care,495192.000,USD,
Qorvo Inc.,QRVO,74736K10,BR9YYP4,0.039934,Information Technology,1182061.000,USD,
Constellation Energy Corporation,CEG,21037T10,BMH4FS1,0.039729,Utilities,3454491.000,USD,
Charles River Laboratories International Inc.,CRL,15986410,2604336,0.039417,Health Care,532261.000,USD,
Kimco Realty Corporation,KIM,49446R10,2491594,0.038933,Real Estate,6420273.000,USD,
Quanta Services Inc.,PWR,74762E10,2150204,0.038615,Industrials,1476633.000,USD,
IDEX Corporation,IEX,45167R10,2456612,0.038586,Industrials,805217.000,USD,
Masco Corporation,MAS,57459910,2570200,0.038569,Industrials,2630030.000,USD,
AES Corporation,AES,00130H10,2002479,0.038502,Utilities,7061995.000,USD,
MarketAxess Holdings Inc.,MKTX,57060D10,B03Q9D0,0.038335,Financials,402696.000,USD,
Interpublic Group of Companies Inc.,IPG,46069010,2466321,0.038262,Communication Services,4171514.000,USD,
Alliant Energy Corp,LNT,01880210,2973821,0.038125,Utilities,2651651.000,USD,
Advance Auto Parts Inc.,AAP,00751Y10,2822019,0.038053,Consumer Discretionary,679888.000,USD,
Packaging Corporation of America,PKG,69515610,2504566,0.037962,Materials,1006480.000,USD,
Evergy Inc.,EVRG,30034W10,BFMXGR0,0.037590,Utilities,2424744.000,USD,
Atmos Energy Corporation,ATO,04956010,2315359,0.037514,Utilities,1385060.000,USD,
ABIOMED Inc.,ABMD,00365410,2003698,0.037497,Health Care,480815.000,USD,
SolarEdge Technologies Inc.,SEDG,83417M10,BWC52Q6,0.037439,Information Technology,560035.000,USD,
Fox Corporation Class A,FOXA,35137L10,BJJMGL2,0.037367,Communication Services,3429242.000,USD,
Bath & Body Works Inc.,BBWI,07083010,BNNTGJ5,0.037157,Consumer Discretionary,2805266.000,USD,
Host Hotels & Resorts Inc.,HST,44107P10,2567503,0.036907,Real Estate,7530459.000,USD,
Robert Half International Inc.,RHI,77032310,2110703,0.036526,Industrials,1187474.000,USD,
Howmet Aerospace Inc.,HWM,44320110,BKLJ8V2,0.036350,Industrials,4092202.000,USD,
Hormel Foods Corporation,HRL,44045210,2437264,0.036029,Consumer Staples,2998970.000,USD,
Comerica Incorporated,CMA,20034010,2212870,0.034921,Financials,1420806.000,USD,
LKQ Corporation,LKQ,50188920,2971029,0.034803,Consumer Discretionary,2876846.000,USD,
Leidos Holdings Inc.,LDOS,52532710,BDV82B8,0.034728,Industrials,1489599.000,USD,
Incyte Corporation,INCY,45337C10,2471950,0.034361,Health Care,1994871.000,USD,
Hasbro Inc.,HAS,41805610,2414580,0.034305,Consumer Discretionary,1363485.000,USD,
Whirlpool Corporation,WHR,96332010,2960384,0.034240,Consumer Discretionary,657965.000,USD,
Iron Mountain Inc.,IRM,46284V10,BVFTF03,0.034070,Real Estate,3079330.000,USD,
Jack Henry & Associates Inc.,JKHY,42628110,2469193,0.034047,Information Technology,787060.000,USD,
Bio-Rad Laboratories Inc. Class A,BIO,09057220,2098508,0.034011,Health Care,227694.000,USD,
Cboe Global Markets Inc,CBOE,12503M10,B5834C5,0.033984,Financials,1130023.000,USD,
Citrix Systems Inc.,CTXS,17737610,2182553,0.033916,Information Technology,1313674.000,USD,
W. R. Berkley Corporation,WRB,08442310,2093644,0.033871,Financials,1486017.000,USD,
Loews Corporation,L,54042410,2523022,0.033550,Financials,2165910.000,USD,
Nordson Corporation,NDSN,65566310,2641838,0.033546,Industrials,577176.000,USD,
PulteGroup Inc.,PHM,74586710,2708841,0.033520,Consumer Discretionary,2752926.000,USD,
WestRock Company,WRK,96145D10,BYR0914,0.033237,Materials,2814205.000,USD,
Fortune Brands Home & Security Inc.,FBHS,34964C10,B3MC7D6,0.033181,Industrials,1462067.000,USD,
Lincoln National Corporation,LNC,53418710,2516378,0.033064,Financials,1851616.000,USD,
DENTSPLY SIRONA Inc.,XRAY,24906P10,BYNPPC6,0.032661,Health Care,2315378.000,USD,
Everest Re Group Ltd.,RE,G3223R10,2556868,0.032485,Financials,422532.000,USD,
F5 Inc.,FFIV,31561610,2427599,0.032456,Information Technology,636979.000,USD,
Brown-Forman Corporation Class B,BF.B,11563720,2146838,0.032438,Consumer Staples,1936047.000,USD,
APA Corp.,APA,03743Q10,BNNF1C1,0.032377,Energy,3936458.000,USD,
C.H. Robinson Worldwide Inc.,CHRW,12541W20,2116228,0.032224,Industrials,1396764.000,USD,
American Airlines Group Inc.,AAL,02376R10,BCV7KT2,0.031707,Industrials,6852989.000,USD,
Henry Schein Inc.,HSIC,80640710,2416962,0.031583,Health Care,1480630.000,USD,
Snap-on Incorporated,SNA,83303410,2818740,0.031423,Industrials,571988.000,USD,
PTC Inc.,PTC,69370C10,B95N910,0.031220,Information Technology,1122374.000,USD,
Zions Bancorporation N.A.,ZION,98970110,2989828,0.030731,Financials,1699223.000,USD,
Juniper Networks Inc.,JNPR,48203R10,2431846,0.030087,Information Technology,3446285.000,USD,
Tapestry Inc.,TPR,87603010,BF09HX3,0.030037,Consumer Discretionary,2968243.000,USD,
NiSource Inc,NI,65473P10,2645409,0.029938,Utilities,4126495.000,USD,
BorgWarner Inc.,BWA,09972410,2111955,0.028913,Consumer Discretionary,2551720.000,USD,
Allegion PLC,ALLE,G0176J10,BFRT3W7,0.027661,Industrials,950609.000,USD,
Universal Health Services Inc. Class B,UHS,91390310,2923785,0.027537,Health Care,795247.000,USD,
Regency Centers Corporation,REG,75884910,2726177,0.027443,Real Estate,1619738.000,USD,
Sealed Air Corporation,SEE,81211K10,2232793,0.027184,Materials,1589442.000,USD,
Wynn Resorts Limited,WYNN,98313410,2963811,0.026780,Consumer Discretionary,1123458.000,USD,
Newell Brands Inc,NWL,65122910,2635701,0.026556,Consumer Discretionary,4034614.000,USD,
Globe Life Inc.,GL,37959E10,BK6YKG1,0.026357,Financials,991902.000,USD,
Assurant Inc.,AIZ,04621X10,2331430,0.026307,Financials,623999.000,USD,
Lamb Weston Holdings Inc.,LW,51327210,BDQZFJ3,0.025814,Consumer Staples,1537174.000,USD,
Pentair plc,PNR,G7S00T10,BLS09M3,0.025714,Industrials,1757421.000,USD,
A. O. Smith Corporation,AOS,83186520,2816023,0.025472,Industrials,1411784.000,USD,
NRG Energy Inc.,NRG,62937750,2212922,0.025418,Utilities,2612126.000,USD,
Ceridian HCM Holding Inc.,CDAY,15677J10,BFX1V56,0.025033,Information Technology,1428893.000,USD,
Organon & Co.,OGN,68622V10,BLDC8J4,0.024940,Health Care,2700380.000,USD,
Molson Coors Beverage Company Class B,TAP,60871R20,B067BM3,0.024881,Consumer Staples,2009865.000,USD,
Campbell Soup Company,CPB,13442910,2162845,0.024312,Consumer Staples,2166593.000,USD,
Lumen Technologies Inc.,LUMN,55024110,BMDH249,0.024289,Communication Services,9780254.000,USD,
DXC Technology Co.,DXC,23355L10,BYXD7B3,0.024265,Information Technology,2669930.000,USD,
News Corporation Class A,NWSA,65249B10,BBGVT40,0.024131,Communication Services,4175130.000,USD,
People's United Financial Inc.,PBCT,71270410,B1W41J2,0.024018,Financials,4542819.000,USD,
Discovery Inc. Class C,DISCK,25470F30,B3D7KG4,0.023417,Communication Services,3098697.000,USD,
Federal Realty Investment Trust,FRT,31374510,BN7P9B2,0.022330,Real Estate,742770.000,USD,
Franklin Resources Inc.,BEN,35461310,2350684,0.022265,Financials,2911923.000,USD,
Mohawk Industries Inc.,MHK,60819010,2598699,0.022117,Consumer Discretionary,593294.000,USD,
Penn National Gaming Inc.,PENN,70756910,2682105,0.022083,Consumer Discretionary,1763574.000,USD,
Norwegian Cruise Line Holdings Ltd.,NCLH,G6672110,B9CGTC3,0.021459,Consumer Discretionary,3881754.000,USD,
DaVita Inc.,DVA,23918K10,2898087,0.021286,Health Care,714492.000,USD,
Pinnacle West Capital Corporation,PNW,72348410,2048804,0.021004,Utilities,1202955.000,USD,
Invesco Ltd.,IVZ,G491BT10,B28XP76,0.020572,Financials,3618232.000,USD,
DISH Network Corporation Class A,DISH,25470M10,2303581,0.020040,Communication Services,2641097.000,USD,
Huntington Ingalls Industries Inc.,HII,44641310,B40SSC9,0.019967,Industrials,425214.000,USD,
Alaska Air Group Inc.,ALK,01165910,2012605,0.019821,Industrials,1325447.000,USD,
Vornado Realty Trust,VNO,92904210,2933632,0.019168,Real Estate,1674447.000,USD,
PVH Corp.,PVH,69365610,B3V9F12,0.018991,Consumer Discretionary,759104.000,USD,
Rollins Inc.,ROL,77571110,2747305,0.018718,Industrials,2363315.000,USD,
Nielsen Holdings Plc,NLSN,G6518L10,BWFY550,0.017209,Industrials,3820141.000,USD,
Ralph Lauren Corporation Class A,RL,75121210,B4V9661,0.016553,Consumer Discretionary,514494.000,USD,
Fox Corporation Class B,FOX,35137L20,BJJMGY5,0.015432,Communication Services,1571950.000,USD,
IPG Photonics Corporation,IPGP,44980X10,2698782,0.013450,Information Technology,383591.000,USD,
Discovery Inc. Class A,DISCA,25470F10,B3D7K31,0.013109,Communication Services,1728287.000,USD,
Under Armour Inc. Class A,UAA,90431110,B0PZN11,0.008471,Consumer Discretionary,2018069.000,USD,
Under Armour Inc. Class C,UA,90431120,BDF9YM2,0.007683,Consumer Discretionary,2090814.000,USD,
News Corporation Class B,NWS,65249B20,BBGVT51,0.007667,Communication Services,1309331.000,USD,
U.S. Dollar,CASH_USD,CASH_USD,Unassigned,0.003226,Unassigned,12703150.000,USD,